OrderItemNo,Cost,Quantity,OrderID,MedicineID
92,5.63,5,15,354
93,243.04,5,16,726
94,29.71,5,16,278
95,86.13,1,17,406
96,78.14,9,17,155
97,62.6,1,18,669
98,11.52,8,18,177
99,84.59,9,18,352
100,61.71,2,18,797
101,195.95,1,18,738
102,714.26,4,18,468
103,99.19,9,19,229
104,95.09,4,19,832
105,65.69,6,19,514
106,756.82,6,19,174
107,18.56,5,19,29
108,47.36,9,19,686
109,22.55,7,19,523
110,55.57,1,19,63
111,54.71,9,19,723
112,91.71,5,20,878
113,37.83,7,20,111
114,50.22,2,21,739
115,58.07,10,21,920
116,61.05,5,22,419
117,12.38,3,22,400
118,60.45,5,22,117
119,19.34,3,22,454
120,43.51,7,22,262
121,639.87,1,22,570
122,136.07,4,22,198
123,43.51,6,23,262
124,29.77,2,23,818
125,94.66,5,23,611
126,349.58,4,23,288
127,98.71,10,24,901
128,635.8,10,24,648
129,66.08,10,24,935
130,71,7,24,153
131,353.22,5,24,834
132,204.75,1,24,252
133,33.64,9,24,542
134,59.7,3,25,826
135,50.99,4,26,196
136,61.05,8,26,419
137,61.75,9,26,189
138,53.86,4,27,953
139,52.31,9,27,643
140,21.64,10,27,547
141,268.09,9,27,894
142,14.9,3,27,729
143,920.32,4,27,66
144,990.7,2,27,630
145,16.1,1,27,43
146,96.69,8,27,628
147,92.14,6,27,9
148,84.59,7,28,352
149,58.71,2,29,215
150,55.2,1,29,981
151,20.88,7,29,256
152,38.82,3,30,201
153,57.81,8,30,520
154,712.56,4,30,876
155,21.41,2,30,553
156,21.17,3,30,681
157,70.86,8,31,430
158,47.85,8,32,977
159,46.94,1,32,125
160,92.48,5,32,578
161,81.16,6,32,147
162,89.13,6,32,507
163,372.46,10,32,552
164,19.41,9,32,107
165,29.37,4,32,530
166,57.81,1,32,520
167,53.86,9,32,953
168,74.71,8,33,515
169,92.48,4,33,578
170,59.45,1,33,983
171,44.23,2,33,1
172,596.95,4,33,702
173,61.1,4,33,200
174,33.52,8,33,279
175,56.59,9,34,457
176,53.71,5,35,779
177,48.74,7,35,25
178,51.81,4,35,746
179,61.1,3,35,200
180,32.81,9,35,171
181,92.48,1,35,578
182,68.38,10,35,375
183,58.12,2,36,133
184,50.99,4,37,196
185,29.41,10,37,399
186,93.53,5,37,869
187,82.45,9,38,319
188,150.49,1,39,972
189,55.32,4,39,297
190,48.74,9,40,25
191,43.02,3,40,264
192,40.04,5,40,479
193,63.99,1,40,39
194,25.91,8,40,833
195,264.46,4,40,996
196,984.25,9,40,360
197,33.73,6,40,974
198,50.66,5,40,193
199,58.42,1,40,21
200,81.16,7,41,147
201,61.79,6,41,626
202,95.72,1,41,850
203,495.23,9,41,678
204,46.94,8,41,125
205,71.53,1,41,158
206,58.97,2,41,203
207,136.07,4,41,228
208,71.38,7,41,809
209,95.55,10,42,91
210,49.01,18,43,370
211,10.13,2,44,447
212,61.83,2,44,970
213,918.86,2,45,246
214,14.42,3,45,548
215,55.89,5,45,694
216,209.99,7,45,936
217,61.51,1,45,267
218,97.41,1,45,573
219,42.09,6,45,232
220,36.73,3,45,688
221,20.36,9,45,214
222,47.66,7,46,625
223,89.13,3,46,507
224,904.77,7,46,126
225,52.06,10,46,239
226,17.67,9,46,341
227,40.33,4,46,290
228,49.27,6,46,397
229,14.42,3,46,548
230,845.2,9,46,342
231,14.42,7,46,548
232,60.66,5,47,34
233,47.66,5,47,625
234,33.74,1,47,223
235,91.73,10,47,320
236,61.75,10,47,189
237,56.3,10,47,315
238,58.82,1,47,391
239,209.99,1,47,936
240,12.38,1,48,400
241,89.79,2,48,727
242,204.75,2,48,252
243,29.39,9,48,95
244,49.65,5,48,499
245,15.81,3,49,641
246,15.38,7,49,497
247,17.67,10,49,341
248,831.55,6,49,786
249,83.24,3,49,208
250,86.13,2,49,406
251,71.89,9,49,159
252,33.52,4,49,279
253,87.94,9,49,623
254,972.71,3,50,486
255,61.79,6,50,626
256,23.81,10,50,394
257,96.93,1,50,59
258,78.46,10,51,233
259,59.9,7,51,572
260,44.96,8,51,609
261,984.25,9,51,360
262,25.91,3,51,833
263,48.74,1,51,25
264,56.73,3,51,742
265,47.85,5,51,977
266,88.12,5,51,587
267,86.69,4,51,637
268,353.22,5,52,834
269,25.75,5,52,962
270,90.09,3,52,266
271,176.05,10,52,762
272,51.73,9,52,994
273,51.01,9,53,197
274,53.71,2,54,779
275,38,1,54,667
276,48.44,9,54,794
277,86.18,6,55,555
278,90.31,2,55,880
279,24.85,5,55,429
280,139.47,8,55,54
281,25.75,3,55,634
282,62.79,6,55,896
283,46.74,4,55,275
284,990.7,8,55,630
285,69.61,10,55,700
286,21.64,10,56,547
287,52.97,8,56,471
288,10.13,9,56,447
289,79.57,7,56,487
290,81.87,10,56,663
291,639.87,6,57,570
292,964.03,5,57,210
293,16.51,4,57,418
294,23.26,2,57,538
295,99.19,7,57,229
296,57.26,1,57,771
297,27.31,3,57,516
298,597.18,1,57,186
299,63.87,1,58,13
300,72.41,1,58,883
301,59.21,5,58,51
302,35.48,8,58,937
303,14.82,10,58,815
304,23.26,5,58,538
305,69.93,10,58,374
306,87.8,7,58,322
307,46.74,1,59,275
308,21.17,9,60,681
309,47.86,8,60,511
310,66.82,2,60,261
311,89.13,7,60,507
312,75.44,6,60,23
313,48.74,10,60,25
314,36.15,5,60,47
315,18,4,61,296
316,45.85,5,61,388
317,63.26,2,61,955
318,54.8,3,61,772
319,88.95,3,61,671
320,99.56,3,61,329
321,816.77,1,61,636
322,88.12,9,61,587
323,58.07,8,61,920
324,93,6,61,938
325,353.22,10,62,834
326,44.96,4,62,609
327,353.22,2,62,834
328,78.42,5,62,41
329,87.88,4,62,242
330,26.33,8,62,409
331,690.96,6,62,732
332,83.85,9,62,272
333,42.09,9,62,232
334,12.55,10,63,561
335,58.71,2,63,215
336,58.82,15,64,466
337,70.54,1,65,368
338,76.99,10,65,803
339,23.35,9,65,101
340,36.13,8,66,687
341,32.58,1,66,76
342,865.95,5,66,684
343,44.93,6,66,130
344,867.06,3,66,864
345,39.32,1,66,245
346,59.94,5,66,247
347,70.54,2,67,699
348,65.69,3,67,514
349,56.52,1,67,544
350,14.72,2,68,674
351,13.01,10,68,164
352,16.1,1,68,43
353,339.27,4,68,492
354,34.75,2,68,778
355,74.19,7,68,645
356,63.87,4,68,13
357,33.74,9,69,223
358,42.3,9,69,356
359,70.15,8,69,580
360,82.45,1,69,319
361,91.71,5,69,878
362,19.41,9,69,107
363,66.83,8,69,503
364,80.41,2,69,202
365,35.35,4,69,389
366,98.14,2,69,740
367,62.99,10,70,442
368,98.01,1,71,28
369,339.27,2,72,492
370,18,4,72,296
371,89.14,8,72,508
372,596.95,10,72,702
373,21.41,7,72,553
374,73.27,6,72,539
375,61.05,9,72,419
376,99.19,9,73,229
377,51.88,8,73,212
378,635.8,5,73,648
379,91.86,2,73,427
380,84.59,1,73,352
381,96.89,10,73,5
382,29.71,9,73,278
383,87.94,9,74,623
384,71.51,9,75,909
385,57.81,6,76,520
386,14.72,9,76,674
387,53.85,6,77,718
388,756.82,8,77,174
389,59.38,10,77,412
390,41.08,2,77,45
391,82.43,4,77,398
392,65.75,7,77,207
393,139.47,3,77,54
394,428.41,1,77,258
395,50.22,2,77,739
396,87.88,3,77,242
397,35.35,10,78,389
398,36.13,2,78,687
399,14.72,4,78,674
400,25.59,8,78,590
401,68.07,7,78,946
402,920.32,8,78,66
403,84.85,3,78,715
404,34,10,78,527
405,18.14,4,78,113
406,62.99,9,78,442
407,58.97,2,79,203
408,75.97,7,79,823
409,55.42,9,79,411
410,40.04,6,80,479
411,731.82,9,80,300
412,57.26,1,81,771
413,69.92,10,81,653
414,14.9,1,81,729
415,19.41,6,81,107
416,54.73,3,81,83
417,27,3,81,559
418,83.39,2,81,577
419,865.95,8,81,684
420,12.71,3,81,766
421,83.39,3,82,577
422,67.93,1,82,752
423,98.14,4,82,740
424,74.28,7,82,748
425,67.93,1,82,752
426,99.1,3,82,277
427,41.44,9,82,383
428,57.14,8,82,433
429,92.48,10,82,578
430,92.36,9,82,428
431,83.39,10,83,577
432,37.38,2,83,209
433,21.17,8,83,681
434,92.49,5,83,98
435,86.13,9,83,406
436,96.03,6,83,287
437,525.91,3,83,504
438,14.9,2,83,729
439,82.43,8,83,398
440,99.56,1,84,329
441,24.85,6,84,429
442,33.74,1,84,37
443,36.25,9,85,311
444,28.12,7,85,88
445,87.8,3,85,322
446,59.87,3,85,789
447,52.14,4,85,847
448,70.86,5,85,430
449,865.95,8,85,684
450,59.31,10,85,821
451,74.19,6,85,645
452,321.61,3,86,930
453,23.81,4,86,394
454,80.41,6,86,109
455,91.76,5,86,952
456,83.85,6,86,272
457,898.68,1,86,984
458,67.03,5,87,148
459,51.01,5,87,197
460,48.14,4,87,308
461,32.58,4,87,76
462,268.09,1,87,894
463,59.94,2,87,247
464,35.05,8,88,519
465,90.78,5,89,871
466,65.69,7,89,514
467,56.27,8,89,491
468,84.93,6,89,743
469,34.75,8,89,778
470,79.9,5,89,143
471,76.49,3,89,905
472,95.36,2,89,841
473,712.56,9,90,876
474,58.82,8,90,466
475,87.16,10,90,680
476,93.67,3,90,843
477,656.79,8,90,612
478,58.03,8,90,213
479,49.16,8,91,903
480,597.18,10,91,186
481,56.21,8,92,805
482,150.49,8,92,972
483,932.52,4,92,180
484,39.67,6,93,745
485,52.97,6,93,471
486,714.26,2,93,468
487,21.41,7,93,553
488,37.81,7,93,2
489,89.14,4,93,508
490,14.19,9,93,670
491,25.26,9,94,379
492,97.26,2,95,716
493,99.56,7,95,329
494,38.71,9,95,874
495,43.02,7,95,264
496,44.96,8,95,609
497,51.01,7,96,197
498,76.99,2,96,803
499,46.94,9,97,125
500,100.72,6,97,666
501,50.13,3,97,235
502,12.38,8,97,400
503,48.14,3,97,308
504,72.91,10,97,257
505,882.48,8,98,852
506,756.82,6,99,174
507,95.39,5,99,65
508,10.13,4,99,447
509,69.74,6,100,395
510,529.3,8,100,156
511,56.17,9,101,316
512,70.86,1,101,430
513,83.39,2,101,577
514,62.6,1,101,669
515,26.46,7,102,773
516,91.71,3,102,878
517,24.04,8,102,854
518,790.43,2,102,882
519,31.42,7,102,86
520,635.8,6,102,648
521,12.38,1,102,400
522,47.86,2,103,511
523,26.22,9,103,536
524,51.01,5,103,197
525,34.53,9,103,617
526,67.93,1,103,752
527,74.88,7,103,965
528,86.69,2,103,637
529,150.49,5,103,972
530,47.36,3,104,686
531,45.85,9,104,388
532,99.81,10,105,179
533,596.95,7,106,702
534,80.41,1,106,202
535,70.54,3,106,368
536,353.92,3,106,846
537,19.41,5,107,107
538,94.81,5,107,415
539,58.82,3,107,466
540,91.71,7,107,878
541,12.38,5,107,400
542,82.45,9,107,319
543,56.73,8,108,742
544,58.43,1,108,560
545,57.14,7,108,433
546,97.41,1,108,573
547,41.44,7,108,383
548,14.19,6,108,670
549,57.34,4,108,627
550,856.51,9,109,60
551,14.72,10,109,674
552,24.04,10,109,854
553,98.71,8,109,901
554,48.44,2,109,794
555,61.75,7,109,189
556,37.27,8,109,610
557,67.93,4,110,752
558,139.47,10,110,54
559,55.24,4,110,327
560,28.98,5,110,485
561,54.59,9,111,138
562,67.47,8,111,422
563,92.14,3,111,9
564,92.44,6,111,819
565,23.36,9,111,359
566,67.03,8,111,148
567,58.42,10,111,21
568,20.06,9,111,613
569,34,3,111,527
570,61.75,5,111,189
571,55.89,5,112,694
572,47.66,5,112,625
573,904.77,10,112,126
574,47.85,8,112,977
575,72.91,7,112,257
576,18,7,112,350
577,17.67,1,112,341
578,68.07,5,112,946
579,54.4,11,113,650
580,14.42,1,114,548
581,41.08,6,114,45
582,71,5,114,153
583,58.71,7,114,215
584,54.59,2,114,138
585,36.22,2,114,323
586,54.71,7,114,723
587,50.99,7,114,196
588,65.69,7,114,514
589,69.91,3,114,64
590,10.12,7,115,104
591,59.21,8,115,51
592,32.81,7,115,171
593,98.84,7,115,865
594,70.15,6,115,580
595,42.89,9,115,19
596,34.53,9,115,617
597,75.97,7,115,823
598,29.72,5,116,437
599,86.69,9,116,637
600,28.8,4,116,697
601,29.37,6,116,530
602,33.66,4,116,469
603,74.69,6,116,250
604,40.65,1,116,161
605,114.72,2,116,384
606,67.89,4,116,317
607,38.82,7,117,201
608,63.87,9,117,13
609,33.74,5,117,223
610,41.08,1,117,45
611,40.04,6,117,479
612,52.6,6,117,115
613,92.36,9,117,428
614,19.36,9,117,268
615,97.26,2,117,716
616,73.27,3,118,539
617,51.88,3,118,212
618,58.82,7,118,466
619,39.32,4,118,245
620,87.16,10,118,680
621,95.72,4,119,183
622,47.86,4,119,511
623,845.2,2,120,342
624,35.81,10,120,679
625,50.13,2,121,235
626,176.05,7,121,762
627,28.12,6,121,88
628,43.4,2,121,274
629,99.1,5,121,277
630,597.18,1,122,186
631,70.86,2,122,430
632,74.28,10,122,748
633,27,5,122,559
634,465.75,4,123,168
635,94.92,8,123,608
636,55.57,10,123,63
637,38.12,16,124,152
638,66.67,14,125,899
639,68.58,2,126,851
640,990.7,5,126,630
641,87.8,3,126,322
642,59.9,5,126,572
643,88.95,2,126,671
644,91.86,1,126,427
645,24.26,9,126,32
646,50.13,7,126,235
647,62.79,4,126,896
648,33.91,4,126,303
649,54.59,6,127,138
650,48.14,6,127,308
651,99.56,10,127,329
652,816.77,1,127,636
653,20.56,7,127,658
654,38.82,6,127,201
655,756.82,4,127,174
656,635.8,3,128,648
657,71.53,6,128,158
658,53.86,1,128,953
659,98.14,9,128,740
660,23.28,9,128,283
661,89.14,5,128,508
662,904.77,4,128,126
663,35.48,7,129,937
664,525.91,5,129,504
665,19.36,6,130,268
666,90.31,1,130,880
667,33.4,7,130,677
668,33.74,10,130,223
669,68.38,8,130,375
670,10.13,1,130,447
671,58.64,20,131,895
672,34.53,7,132,617
673,88.95,4,132,671
674,177.25,2,132,390
675,74.88,1,132,965
676,18.14,3,132,113
677,20.06,7,133,613
678,53.85,7,133,718
679,51.88,10,133,212
680,639.87,9,133,570
681,70.98,3,133,301
682,14.82,5,133,815
683,27.31,3,133,516
684,57.74,1,134,889
685,71.33,8,134,933
686,56.52,4,134,544
687,46.74,2,134,275
688,71.89,2,134,159
689,23.26,8,134,538
690,60.66,9,135,34
691,15.57,1,135,701
692,28.25,6,135,922
693,86.69,3,135,637
694,40.65,7,135,161
695,83.31,6,135,4
696,92.14,2,135,9
697,75.97,7,135,823
698,90.09,10,136,266
699,55.2,9,136,981
700,79.57,6,137,487
701,209.99,10,137,936
702,15.81,6,137,641
703,23.26,1,137,538
704,51.88,5,137,212
705,95.36,3,138,841
706,51.88,3,138,212
707,53.86,2,138,953
708,80.41,1,138,202
709,50.9,7,138,992
710,669.51,6,138,480
711,76.51,2,138,838
712,58.03,4,138,213
713,10.12,8,138,104
714,93.53,3,138,869
715,44.93,4,139,867
716,135.44,4,139,714
717,25.82,5,139,706
718,82.43,8,139,398
719,96.84,8,139,801
720,712.56,9,140,876
721,51.01,4,140,197
722,75.44,7,140,23
723,96.84,10,140,801
724,372.46,7,140,552
725,23.28,7,140,283
726,62.39,9,141,483
727,95.34,6,141,382
728,52.03,1,141,293
729,52.03,9,142,293
730,32.65,8,142,230
731,58.07,6,142,920
732,71.33,10,142,933
733,24.04,8,142,854
734,83.85,7,142,272
735,66.54,3,142,950
736,82.43,9,143,398
737,48.74,8,143,25
738,50.22,3,143,739
739,95.09,5,143,832
740,50.9,1,143,992
741,55.24,3,143,327
742,92.44,4,143,819
743,69.75,4,144,754
744,784.4,3,145,624
745,25.82,6,145,706
746,63.99,8,146,39
747,29.77,9,146,818
748,95.36,7,146,841
749,55.89,4,146,764
750,12.55,10,146,561
751,15.38,1,146,497
752,282.87,3,147,558
753,42.3,6,147,356
754,51.81,2,147,746
755,596.95,7,147,702
756,54.73,9,147,83
757,12.63,3,147,820
758,567.62,10,148,720
759,94.81,1,148,415
760,49.27,5,148,397
761,81.16,9,148,147
762,38.12,9,149,152
763,372.46,5,149,552
764,14.19,10,149,670
765,816.77,2,149,636
766,97.14,5,149,753
767,63.44,9,149,758
768,87.44,5,150,862
769,83.39,6,150,577
770,67.93,7,150,752
771,16.51,7,150,418
772,23.28,6,150,283
773,37.81,10,150,2
774,712.56,3,150,876
775,68.38,4,150,375
776,82.43,6,150,398
777,17.93,9,150,673
778,243.04,7,151,726
779,58.71,1,151,215
780,96.93,2,151,59
781,79.57,7,151,487
782,990.7,9,151,630
783,71,3,151,153
784,93.79,5,151,380
785,120.09,10,151,396
786,57.26,5,151,771
787,86.18,5,152,555
788,49.27,6,152,397
789,36.22,4,152,323
790,40.04,2,152,479
791,42.09,7,152,232
792,76.51,4,152,838
793,984.25,1,152,360
794,899.35,10,152,24
795,58.82,8,153,391
796,45.85,7,153,388
797,67.93,8,153,752
798,24.82,3,153,82
799,15.1,8,153,10
800,495.23,2,154,678
801,79.57,4,154,487
802,97.41,6,155,573
803,61.71,6,155,797
804,61.51,8,155,267
805,36.73,10,155,688
806,508.98,5,155,672
807,67.89,1,155,317
808,71.89,10,155,159
809,36.67,6,155,269
810,56.73,6,156,742
811,712.56,1,156,876
812,87.88,1,156,242
813,54.59,5,156,138
814,491.62,5,156,192
815,50.9,8,156,992
816,48.44,6,156,794
817,247.89,7,157,588
818,37.78,3,157,371
819,39.52,9,157,767
820,99.04,5,157,986
821,61.1,1,157,200
822,58.14,9,157,310
823,98.71,2,157,901
824,150.49,1,157,972
825,19.36,6,158,268
826,36.13,1,158,687
827,49.35,9,158,281
828,62.6,10,158,669
829,18,2,158,296
830,19.41,7,159,107
831,50.9,1,159,992
832,40.04,2,159,479
833,25.91,6,159,833
834,59.94,9,159,247
835,66.08,5,159,935
836,74.71,1,159,515
837,38.51,6,159,188
838,22.55,7,159,523
839,32.76,5,159,81
840,11.46,4,160,593
841,34.84,6,160,812
842,48.14,1,160,308
843,353.92,1,160,846
844,25.82,4,160,706
845,86.06,10,160,219
846,61.83,5,160,970
847,67.47,8,160,248
848,24.26,5,160,32
849,57.41,9,160,335
850,56.73,2,161,742
851,95.09,10,161,832
852,94.66,9,162,611
853,36.67,8,162,269
854,69.91,1,162,64
855,51.73,9,162,994
856,86.69,4,162,637
857,29.37,2,162,530
858,990.7,6,162,630
859,66.82,6,162,261
860,96.03,6,162,287
861,56.27,6,162,491
862,23.36,8,163,359
863,95.39,9,163,65
864,17.67,10,164,341
865,349.58,9,164,288
866,114.72,10,164,384
867,58.14,3,165,310
868,495.23,9,165,678
869,44.62,4,165,861
870,70.86,6,165,430
871,42.3,7,165,356
872,55.89,8,165,694
873,98.14,8,165,740
874,67.47,5,166,422
875,97.39,3,166,893
876,60.66,4,166,34
877,36.15,10,166,47
878,26.95,3,166,73
879,34,6,166,527
880,21.64,2,166,547
881,34.53,2,166,617
882,96.93,3,167,59
883,46,10,167,860
884,756.82,2,167,174
885,66.82,10,167,261
886,70.15,7,167,580
887,94.93,3,167,477
888,42.09,5,167,232
889,52.03,6,168,293
890,790.43,4,168,882
891,339.27,10,168,492
892,76.56,3,168,103
893,46.74,7,168,275
894,136.07,3,168,198
895,240.11,9,169,510
896,50.99,10,170,196
897,91.71,3,170,878
898,33.74,2,170,223
899,36.22,7,170,323
900,44.93,8,171,130
901,51.73,1,171,994
902,209.99,2,171,936
903,40.33,5,171,290
904,24.58,10,171,280
905,63.99,7,171,39
906,114.72,5,171,384
907,43.4,3,171,274
908,135.44,7,171,714
909,98.14,1,171,740
910,43.43,8,172,604
911,44.93,9,173,867
912,37.27,2,173,610
913,92.69,8,173,122
914,70.54,8,173,368
915,28.12,2,173,88
916,812.49,7,173,108
917,97.14,10,173,753
918,39.32,1,173,245
919,19.41,8,173,107
920,80.41,1,173,202
921,20.56,8,174,658
922,339.27,10,174,492
923,60.45,1,174,117
924,91.86,4,174,427
925,37.28,8,174,321
926,25.82,6,174,706
927,990.7,9,174,630
928,57.74,4,174,889
929,10.44,3,175,731
930,57.34,8,176,627
931,508.98,3,176,672
932,353.92,6,176,846
933,5.63,1,176,354
934,18.56,6,176,29
935,32.76,2,176,81
936,45.85,10,176,388
937,57.81,5,176,520
938,45.7,8,177,693
939,60.42,10,177,659
940,49.35,10,177,281
941,87.16,20,178,680
942,29.79,7,179,182
943,928.3,1,179,708
944,17.67,5,179,341
945,67.47,3,179,248
946,34.05,6,179,967
947,177.25,3,179,390
948,529.3,8,179,156
949,88.41,8,179,782
950,78.42,4,180,41
951,99.04,2,180,986
952,18.14,8,180,113
953,38.82,6,180,201
954,93,1,180,938
955,70.98,5,180,301
956,25.75,2,180,634
957,38.82,9,180,201
958,14.99,8,180,770
959,15.81,3,180,641
960,87.44,1,181,862
961,928.3,6,181,708
962,56.27,7,181,491
963,83.39,6,181,577
964,14.99,5,181,770
965,97.14,5,181,753
966,44.23,10,181,1
967,32.81,10,181,171
968,97.82,2,181,975
969,11.46,4,182,593
970,30.27,7,182,358
971,88.41,2,182,782
972,57.41,1,182,335
973,177.25,4,182,390
974,62.39,6,182,483
975,353.22,8,183,834
976,70.86,6,183,430
977,68.99,3,183,848
978,816.77,3,183,636
979,42.89,2,183,19
980,19.24,5,183,788
981,66.82,1,183,261
982,98.84,8,183,865
983,55.42,4,183,411
984,20.51,7,184,361
985,50.22,4,185,739
986,95.6,7,185,87
987,96.89,10,185,5
988,46.94,6,185,125
989,55.57,9,185,63
990,63.87,9,185,13
991,37.58,10,185,676
992,89.13,1,185,507
993,87.44,8,185,862
994,59.94,2,185,247
995,33.4,4,186,677
996,11.52,9,186,177
997,55.68,5,186,443
998,28.12,9,186,88
999,61.51,5,186,267
1000,32.65,1,187,230
1001,95.6,8,187,87
1002,86.13,6,187,406
1003,990.7,2,187,630
1004,13.94,13,188,226
1005,68.07,2,189,946
1006,24.85,6,189,429
1007,58.42,11,190,21
1008,21.17,7,191,681
1009,48.44,5,191,794
1010,111.41,8,191,78
1011,46,2,191,860
1012,14.72,6,192,674
1013,75.97,1,192,823
1014,63.87,1,192,13
1015,96.69,10,193,628
1016,34.84,6,193,812
1017,76.88,10,194,357
1018,38.82,1,194,201
1019,57.34,3,194,627
1020,561.12,9,194,426
1021,96.93,2,194,59
1022,867.06,3,194,864
1023,41.49,3,194,567
1024,44.62,4,194,861
1025,690.96,4,194,732
1026,67.03,10,194,148
1027,61.71,4,195,376
1028,41.44,1,195,383
1029,26.95,1,195,73
1030,27,7,195,559
1031,58.64,20,196,895
1032,39.67,7,197,745
1033,48.14,10,197,308
1034,62.6,9,197,669
1035,84.59,4,197,352
1036,5.63,9,197,354
1037,60.42,3,197,659
1038,44.93,9,198,867
1039,83.39,6,198,577
1040,669.51,4,198,480
1041,83.24,9,198,208
1042,40.33,5,198,290
1043,95.72,1,198,850
1044,282.87,6,199,558
1045,33.74,10,199,37
1046,268.09,3,199,894
1047,33.4,4,199,677
1048,486.17,4,200,408
1049,76.81,6,200,440
1050,339.27,5,201,492
1051,52.6,9,201,115
1052,69.74,5,201,395
1053,12.63,6,201,820
1054,58.03,4,201,213
1055,920.32,7,201,66
1056,17.93,7,201,673
1057,86.18,5,201,555
1058,34.05,6,201,967
1059,19.34,7,201,454
1060,639.87,7,202,570
1061,27.31,7,202,516
1062,86.18,8,202,555
1063,45.85,3,202,388
1064,89.79,3,202,727
1065,51.08,2,203,35
1066,12.61,10,203,879
1067,25.91,2,203,833
1068,98.14,3,204,740
1069,37.83,9,204,111
1070,52.06,1,204,239
1071,78.42,5,204,41
1072,39.67,3,204,745
1073,635.8,8,204,648
1074,59.18,4,204,490
1075,90.09,3,204,266
1076,99.19,8,204,229
1077,58.97,8,205,203
1078,89.84,9,205,793
1079,268.09,7,205,894
1080,87.44,2,205,862
1081,349.58,4,205,288
1082,70.54,7,205,699
1083,89.62,6,205,393
1084,53.71,6,205,779
1085,60.58,2,205,70
1086,14.9,9,205,729
1087,42.09,8,206,232
1088,16.17,2,206,478
1089,47.36,7,206,686
1090,53.85,10,206,718
1091,67.93,2,206,752
1092,89.13,6,206,507
1093,42.3,6,206,356
1094,48.76,6,206,598
1095,78.54,5,207,733
1096,53.71,3,208,779
1097,38.12,4,209,152
1098,55.24,2,209,327
1099,26.22,1,209,536
1100,68.58,5,210,851
1101,36.67,3,210,269
1102,48.76,5,210,598
1103,54.59,1,210,138
1104,36.73,10,210,688
1105,5.63,5,211,354
1106,69.93,4,211,374
1107,99.19,1,211,229
1108,37.81,4,211,2
1109,39.52,6,211,767
1110,75.24,3,211,776
1111,62.22,1,211,136
1112,50.66,9,212,193
1113,63.99,3,212,39
1114,111.41,6,212,78
1115,87.8,2,212,322
1116,111.41,7,213,78
1117,16.1,1,213,43
1118,28.98,7,213,485
1119,60.66,6,213,34
1120,44.62,7,213,861
1121,96.69,3,213,628
1122,56.52,7,213,544
1123,71.59,6,213,835
1124,51.08,5,213,35
1125,51.88,9,214,212
1126,25.75,8,215,962
1127,70.54,4,215,699
1128,904.77,9,215,126
1129,22.55,7,216,523
1130,54.71,7,216,723
1131,40.33,7,216,290
1132,80.41,5,216,202
1133,784.4,8,216,624
1134,48.44,7,216,794
1135,45.85,9,216,388
1136,495.23,2,216,678
1137,32.81,2,217,171
1138,53.79,8,217,369
1139,94.66,6,217,611
1140,48.14,7,218,308
1141,111.41,6,219,78
1142,73.59,6,219,93
1143,984.25,2,219,360
1144,444.59,1,219,870
1145,856.51,8,219,60
1146,76.49,9,219,905
1147,26.31,10,219,299
1148,41.49,9,219,567
1149,37.28,7,219,321
1150,39.45,6,219,220
1151,33.52,1,220,279
1152,87.88,3,220,242
1153,71,9,220,153
