MedicineID,Name,Description,CompanyName,Cost,Category,IsPrescribed,PackagingTemperature,CompanyID,HomemadeRemedies
23,Fluoxetine hydrochloride,Necrosis of artery,"Raynor, Walker and Jakubowski",75.44,General Sales List,0,2,58,practice sav-assan
24,Nesacaine,Congen CV dis preg-unsp,Leffler Inc,899.35,Controlled List,0,27,76,take tulsi
25,Natelle One,Abn function study NEC,Zemlak and Sons,48.74,Controlled List,0,6,70,practice padma-assan
26,Creamy Peach Antibacterial Foaming Hand Wash,Herpetic vulvovaginitis,Ankunding Inc,71.34,General Sales List,1,17,48,practice 8 hour sleep
27,HGH-Pro,Pois-pertussis vaccine,"O'Conner, Kris and Schowalter",74.25,Pharmacy Medicine,1,12,54,use sav-assan
28,Artificial Tears,Hepatic encephalopathy,"Welch, Turner and O'Reilly",98.01,Controlled List,1,5,89,practice 8 hour sleep
29,Cepacol,Pituitary disorder NOS,Kautzer LLC,18.56,General Sales List,0,27,61,take padma-assan
30,TIZANIDINE HYDROCHLORIDE,Spina bifida-lumbar,Crona-Leannon,102.1,General Sales List,1,23,6,follow tulsi
31,DAILY MOISTURIZING,Adv eff corticosteroids,Gottlieb-Kemmer,98.35,Pharmacy Medicine,1,1,45,practice padma-assan
32,OXYGEN,TB of thyroid-cult dx,Zemlak and Sons,24.26,General Sales List,0,12,70,follow sav-assan
33,Anti-Fungal,Infected hydrocele,Fay-Rau,75.22,Pharmacy Medicine,1,20,87,practice neem
34,Simply Right Loratadine,Hallucinations,Mayert LLC,60.66,Controlled List,0,22,41,do tulsi
35,Ziprasidone Hydrochloride,Cardiovascular syph NEC,Schimmel-Hoeger,51.08,Pharmacy Medicine,0,20,80,use haldi
36,SALIX NIGRA POLLEN,Salmonella osteomyelitis,Yost-Pouros,206.42,General Sales List,1,-1,85,use wake early
37,Torsemide,Fet grwth ret 1500-1749g,Leffler Inc,33.74,Pharmacy Medicine,0,4,76,use boil water
38,Cleocin Pediatric,Unilat ing hernia w obst,"Hermiston, Legros and Hand",92.69,Controlled List,1,16,13,use neem
39,All Day Pain Relief,Coag def hemorr-antepart,Emard Group,63.99,Pharmacy Medicine,0,21,93,take wake early
40,Ibuprofen,Opn skull/oth fx-concuss,Cummings-Labadie,41.76,Pharmacy Medicine,1,28,68,take wake early
41,Metronidazole,Heart transplant status,Kub-Aufderhar,78.42,Pharmacy Medicine,0,3,72,use vegetarian
42,Botrytis cinerea,Fx bimalleolar-open,"Paucek, Wehner and Kunde",515.61,General Sales List,0,7,66,practice boil water
43,Simvastatin,Breast inf NEC-del w p/p,Gerhold and Sons,16.1,Controlled List,0,22,31,use wake early
44,Denavir,Fail induction NOS-deliv,Kuphal LLC,82.38,General Sales List,1,25,29,take tulsi
45,METFORMIN HYDROCHLORIDE,Counseling injry prevent,Dietrich-Denesik,41.08,Pharmacy Medicine,0,5,63,use tulsi
46,Extra Strength Acetaminophen,Bipol I manc-sev w/o psy,Witting Inc,18.96,Controlled List,1,11,57,do vegetarian
47,LANOXIN,Uterovag prolaps-incompl,Johns-Lowe,36.15,General Sales List,0,26,56,follow wake early
48,ISOPROPYL WINTER GREEN RUBBING ALCOHOL,Bariatric surg-del w p/p,Fay-Rau,632.35,Pharmacy Medicine,1,5,87,take sav-assan
49,Erythromycin,Adv eff mix bact vaccine,Kreiger Group,46.01,Controlled List,1,1,37,take neem
50,Antiseptic Mouth Rinse,Ca in situ stomach,Lemke LLC,58.44,Pharmacy Medicine,0,-5,18,follow 8 hour sleep
51,Carroll Ultrex Antimicrobial Wipes,"NB intraven hem,grade i",Ullrich LLC,59.21,Pharmacy Medicine,0,-5,81,do padma-assan
52,risperidone,Villonod synovit-mult jt,"Zieme, Lakin and Carter",64.01,General Sales List,0,-1,55,take boil water
53,Klor-Con M20,Late eff CV dis-dysphsia,"Dare, O'Reilly and Purdy",45.47,Pharmacy Medicine,1,22,50,do wake early
54,ZENATANE,Unilat ing hernia w gang,Lemke LLC,139.47,Controlled List,0,26,18,do boil water
55,Cod,Hypertelorism of orbit,Harris-Lesch,73.81,Pharmacy Medicine,1,-3,43,do haldi
56,Lisinopril,Acq deformity of toe NOS,Herman-Marks,99.91,Controlled List,1,28,94,do wake early
57,Mustard Seed,Tox eff noxious food NEC,McKenzie Group,70.91,Pharmacy Medicine,1,4,7,use vegetarian
58,Junior Pain Relief,Longitudinal defic ulna,Rempel Inc,37.24,General Sales List,1,29,8,practice neem
59,"Mucus Relief Cold, Flu and Sore Throat",Ben neo GI tract NEC/NOS,Ferry Group,96.93,General Sales List,0,10,74,take 8 hour sleep
60,Sodium Chloride,Complcation-insulin pump,"Moen, Osinski and Weissnat",856.51,Pharmacy Medicine,0,-3,73,use neem
61,K-TAB,Oth integument anomalies,Ullrich LLC,53.54,General Sales List,1,10,81,take padma-assan
62,Head and Shoulders,Thyrotox-ect nod no cris,"Greenholt, Herman and Gislason",37.33,Controlled List,1,17,92,practice wake early
63,Isopropyl Alcohol,Great vein anomaly NOS,Bradtke-Heathcote,55.57,Pharmacy Medicine,0,-4,78,follow haldi
64,Duloxetine,"Keratoderma, acquired","Padberg, Heidenreich and Predovic",69.91,General Sales List,0,7,84,do boil water
65,Salsalate,Pulm embol NEC-del w p/p,"Padberg, Heidenreich and Predovic",95.39,Controlled List,0,11,84,use wake early
66,Nan San EASY FLEX Pain Relieving,Cl skul fx NEC-deep coma,Hamill-Goyette,920.32,General Sales List,0,5,59,do haldi
67,Amlodipine Besylate,Monoc esotrop w v pattrn,"Dare, O'Reilly and Purdy",21.04,Controlled List,1,17,50,take vegetarian
68,Atenolol and Chlorthalidone,Post-term infant,"Ryan, Nader and Murphy",84.32,Controlled List,0,18,97,practice padma-assan
69,Benazepril Hydrochloride,"Gc sem vesiculitis, chr","Fay, Hessel and Borer",43.73,Controlled List,1,10,36,take haldi
70,Povidone-Iodine Pad,Loc osteoarth NOS-hand,"Thompson, Lang and Crist",60.58,Controlled List,0,12,75,take 8 hour sleep
71,Ampicillin,Fx humerus NOS-closed,"Ziemann, Carter and Crona",90.38,General Sales List,1,19,49,use tulsi
72,Nighttime,Alternating esotropia,"Luettgen, Hayes and Ward",685.57,General Sales List,1,10,38,practice boil water
73,Olanzapine and Fluoxetine,Exam ears & hearing NEC,Spinka-Crist,26.95,Controlled List,0,-2,40,practice neem
74,Oxcarbazepine,Open wnd trunk NEC-compl,Koch-Graham,97.82,General Sales List,1,29,39,use padma-assan
75,Nighttime Sleep Aid,Deep 3rd burn trunk NEC,Wolff-Hand,22.89,Pharmacy Medicine,1,-5,3,use haldi
76,California Black Walnut,"Fx navicular, wrist-open",Feil-Mante,32.58,Pharmacy Medicine,0,-2,96,do wake early
77,Low Sugar Cherry Flavor Fishermans Friend Menthol Cough Suppressant,Hepatitis A w/o coma,Harris-Lesch,28.96,General Sales List,0,13,43,take tulsi
78,BRUSSEL SPROUTS,Malign neopl cerebrum,"Dare, O'Reilly and Purdy",111.41,Pharmacy Medicine,0,0,50,take neem
79,HES CLEAN,Varicella pneumonitis,McKenzie Group,88.79,Controlled List,0,5,7,take boil water
80,Kmart Corporation,Pediculosis NOS,Leffler Inc,75.2,General Sales List,0,-4,76,practice vegetarian
81,Zoledronic acid,Burn NOS trunk NEC,"Hahn, Lubowitz and Halvorson",32.76,General Sales List,0,6,69,use boil water
82,MiraLAX,Hpt C w hepatic coma NOS,"Hettinger, Becker and Walter",24.82,Pharmacy Medicine,0,12,26,use boil water
83,Paroxetine,Chr mono leuk in relapse,Kautzer LLC,54.73,General Sales List,0,1,61,follow neem
84,Argentum 0.4 Adult Size (cocoa butter) Special Order,Syst sclerosis lung dis,Kautzer LLC,780.32,Controlled List,0,1,61,take boil water
85,XtraCare Wet Wipes,Dermatomyositis,Nitzsche and Sons,10.6,Pharmacy Medicine,1,11,21,follow wake early
86,HYDROMORPHONE HYDROCHLORIDE,Prolapsed arm-unspec,Hane-Doyle,31.42,General Sales List,0,14,51,do neem
87,LISINOPRIL,Hot substance accid NEC,"Goyette, Daniel and Leannon",95.6,General Sales List,0,24,5,take sav-assan
88,PAMELOR,Arthropod virus NEC,"Douglas, Keeling and Murray",28.12,Pharmacy Medicine,0,4,42,follow wake early
89,Rivastigmine Tartrate,Malig neuroendo ca NOS,Hettinger Inc,65.76,General Sales List,1,24,12,do padma-assan
90,Isosorbide Dinitrate,Rhinovirus infect NOS,Gottlieb-Kemmer,922.66,Pharmacy Medicine,1,12,45,practice neem
91,METFORMIN HYDROCHLORIDE,"Condctv hear loss,unilat",Nikolaus Inc,95.55,General Sales List,1,29,60,follow neem
92,Irbesartan and Hydrochlorothiazide,Mv-train coll-pedest,Gottlieb-Kemmer,34.25,General Sales List,1,14,45,use boil water
93,Alendronate Sodium,Macular keratitis,"Ziemann, Carter and Crona",73.59,Pharmacy Medicine,0,4,49,follow wake early
94,Pantoprazole,"Panniculitis, unsp site",Johns-Lowe,76.21,Pharmacy Medicine,1,21,56,do haldi
95,LBel,Cord around neck-antepar,Yost-Pouros,29.39,General Sales List,0,22,85,follow sav-assan
96,PROVENCE MAKEUP BASE,Sleep arousal disorder,Yundt-Price,255.2,Controlled List,0,-1,15,use neem
97,valsartan and hydrochlorothiazide,Inf arthritis NOS-up/arm,"Ziemann, Carter and Crona",17.77,General Sales List,1,13,49,take tulsi
98,swiss hand guard,Dysthymic disorder,Anderson Group,92.49,General Sales List,0,22,77,follow padma-assan
99,Sinus Rescue,Dysenter arthrit-ankle,Johnson Group,83.58,Pharmacy Medicine,0,25,90,practice vegetarian
100,good sense pain relief pm,Cryptogenic organiz pneu,"Welch, Turner and O'Reilly",76.85,Pharmacy Medicine,1,14,89,take neem
101,Candidiasis Yeast,3rd deg burn w loss-back,Dietrich-Denesik,23.35,Controlled List,0,7,63,use boil water
102,Oxcarbazepine,Leptospiros icterohem,"O'Conner, Kris and Schowalter",464.09,Pharmacy Medicine,1,11,54,do neem
103,"Standardized Mite, Dermatophagoides farinae, Bulk, 10000 AU per mL",Mgrn NOS w ntrc w st mgr,"Ortiz, Corkery and Koelpin",76.56,Controlled List,0,3,67,use sav-assan
104,Ammonia Inhalants,Hepatopulmonary syndrome,"Douglas, Keeling and Murray",10.12,General Sales List,0,26,42,do haldi
105,isosorbide mononitrate,Malposition NEC-unspec,Emard Group,79.17,Controlled List,1,26,93,use tulsi
106,Eucalyptus e fol. 5,Gonorrhea-antepartum,"Bechtelar, Connelly and Boehm",19.02,Controlled List,1,6,82,do padma-assan
107,Womens Gentle Laxative,Liver/bil trct disr-ante,"Greenholt, Herman and Gislason",19.41,Pharmacy Medicine,0,15,92,use vegetarian
108,"Pollens - Weeds and Garden Plants, Scotch Broom Cytisus scoparius",Unsocial aggress-severe,Carter Inc,812.49,Pharmacy Medicine,0,16,100,take padma-assan
109,Aldactone,Lung injury NOS-open,"Ortiz, Corkery and Koelpin",80.41,General Sales List,0,30,67,do sav-assan
110,Donepezil hydrochloride,Unc behav neo testis,Kautzer LLC,25.63,Pharmacy Medicine,1,0,61,follow vegetarian
111,Acephen,War inj:fragment IED NEC,"Fay, Hessel and Borer",37.83,Pharmacy Medicine,0,5,36,use sav-assan
112,meloxicam,Burn NOS head-unspec,Anderson Group,12.06,Controlled List,1,17,77,use sav-assan
113,Nisoldipine,Status amput above elbow,Braun-Bartoletti,18.14,Controlled List,0,-1,64,do padma-assan
114,Likewise Hand Moisturizer - Sun Protectant SPF 50,Flccd hmiplg nondmnt sde,"Cremin, Rosenbaum and Bashirian",965.87,Controlled List,0,15,86,do haldi
115,ZOLINZA,Insect bite forearm-inf,"Predovic, Robel and Considine",52.6,Pharmacy Medicine,0,23,1,do boil water
116,Childrens Acetaminophen Melts,Enceph/encephmye oth dis,"Fay, Hessel and Borer",93.62,Pharmacy Medicine,1,-4,36,use sav-assan
117,Pain Relief Maximum Strength,Gallstone ileus,Harris-Maggio,60.45,Pharmacy Medicine,0,14,22,take sav-assan
118,L OCCITANE IMMORTELLE BRIGHTENING HAND CARE BROAD SPECTRUM SPF 20 SUNSCREEN,Post disloc elbow-closed,Nikolaus Inc,96.96,General Sales List,0,9,60,follow 8 hour sleep
119,Disney PIXAR Cars Antibacterial Hand Wipes,Ileostomy status,Ferry Group,96.94,Controlled List,1,-5,74,do vegetarian
120,Dr.eslee Sun Matte,Hodgkins sarcoma pelvic,Emard Group,797.73,Pharmacy Medicine,1,9,93,do boil water
121,Walgreens,TB of hip-no exam,Mosciski Inc,47.57,Controlled List,1,18,20,practice wake early
122,Yes To Carrots Daily Facial Moisturizer SPF 15,Ab NOS w pelv damag-comp,Schimmel-Hoeger,92.69,Pharmacy Medicine,0,4,80,practice boil water
123,Norditropin,Arthropod hem fever NOS,Kautzer LLC,62.36,General Sales List,0,-2,61,take wake early
124,TobraDex,"Postop shock, septic","Thompson, Lang and Crist",92.67,Pharmacy Medicine,1,7,75,take 8 hour sleep
125,Cerebromax,Moyamoya disease,Schimmel-Hoeger,46.94,General Sales List,0,4,80,practice neem
126,FEIBA,Fx larynx/trachea-closed,"Hahn, Lubowitz and Halvorson",904.77,General Sales List,0,21,69,do tulsi
127,Cefdinir,Soft tissue anomaly NEC,"Fay, Hessel and Borer",78.46,Controlled List,1,11,36,do vegetarian
128,ISOXSUPRINE HYDROCHLORIDE,Kidney hematoma-closed,"Bode, Deckow and Schuster",22.23,General Sales List,1,22,10,follow 8 hour sleep
129,Acne Treatment Sulfur Wash,Disloc midtarsal-open,"Cremin, Rosenbaum and Bashirian",92.3,Controlled List,1,13,86,take neem
130,METOPROLOL SUCCINATE,TB fem gen NEC-oth test,"Reinger, Langworth and Wunsch",44.93,General Sales List,0,24,11,take tulsi
131,Lamotrigine Extended Release,Myalgia and myositis NOS,Johns-Lowe,13.46,General Sales List,1,10,56,do tulsi
132,Ceftazidime,Hyphema,"Luettgen, Hayes and Ward",752.04,Pharmacy Medicine,1,25,38,follow 8 hour sleep
133,LAMOTRIGINE,Disrupt perineum-unspec,Spinka-Crist,58.12,General Sales List,1,30,40,practice padma-assan
134,Anti-Bacterial Hand,Toxic eff pesticides NEC,"Moen, Osinski and Weissnat",53.74,Controlled List,1,-1,73,take wake early
135,MYTAB For GAS,Extrapyramidal dis NOS,"Paucek, Wehner and Kunde",21.69,Controlled List,1,25,66,use haldi
136,Phenazopyridine HCl,Partial tear rotatr cuff,"Wiegand, Prohaska and Kub",62.22,Controlled List,0,1,52,practice haldi
137,Pumpkin,Louse-borne relaps fever,Fay-Rau,16.08,Pharmacy Medicine,1,24,87,use haldi
138,LISINOPRIL,Oth coll stnd obj-rider,"O'Conner, Kris and Schowalter",54.59,Pharmacy Medicine,0,-3,54,use vegetarian
139,ropinirole,Poisoning-gi agent NOS,Ankunding Inc,20.05,General Sales List,1,12,48,take 8 hour sleep
140,good sense tussin,Poisoning-gi agents NEC,Gerhold and Sons,58.81,General Sales List,1,30,31,follow padma-assan
141,Methimazole,Infec otitis externa NOS,Kuhic Inc,72.99,Controlled List,1,17,23,use wake early
142,Low Dose Aspirin,One eye-severe/oth-unknw,"Goyette, Daniel and Leannon",46.51,Controlled List,1,-1,5,use sav-assan
143,VFEND,Contaminated drug NEC,Ebert and Sons,79.9,Controlled List,0,12,98,practice wake early
144,TETRA-ABC,Deep vein thromb-antepar,Kreiger Group,497.55,Controlled List,1,29,37,use vegetarian
145,Naproxen,Post-surgical forgn body,"Bode, Deckow and Schuster",43.81,Controlled List,1,12,10,take haldi
146,cold relief,Cellulitis of neck,Hauck-Denesik,84.71,General Sales List,1,28,35,use padma-assan
147,Stona,Chagas disease of heart,Mosciski Inc,81.16,Controlled List,0,10,20,take wake early
148,Horse Fly,Excessive cold NEC,Feil-Mante,67.03,Pharmacy Medicine,0,8,96,use haldi
149,Marqibo,Loss control mv-pers NEC,"Ortiz, Corkery and Koelpin",25.47,Pharmacy Medicine,1,24,67,use 8 hour sleep
150,Enalapril Maleate,Oth vehicle acc NEC,"Maggio, Wehner and Ratke",657.42,Controlled List,1,17,83,use padma-assan
151,Dr. Numb,Inf arthritis NEC-shlder,Emard Group,24.34,Controlled List,1,27,93,take haldi
152,Bacto Plus HP,Ulcer of lower limb NOS,Bradtke-Heathcote,38.12,General Sales List,0,14,78,practice tulsi
153,Risperidone,Toxic effect cyanides,Zemlak and Sons,71,General Sales List,0,27,70,take padma-assan
154,PVP Prep,Fail mech induct-deliver,Kautzer LLC,21.61,General Sales List,1,29,61,follow 8 hour sleep
155,Fluconazole,Late sympt syphilis NEC,"Hettinger, Becker and Walter",78.14,Pharmacy Medicine,0,18,26,do wake early
156,Morphine Sulfate,Suprcondyl fx humerus-cl,"Douglas, Keeling and Murray",529.3,Controlled List,0,-4,42,practice wake early
157,Trimethobenzamide Hydrochloride,Resolv idiopath scolios,"Maggio, Wehner and Ratke",55.73,General Sales List,1,-4,83,do haldi
158,CARMEX original lip balm EXTERNAL ANALGESIC,Coxa vara,Gleichner-Legros,71.53,Controlled List,0,6,53,use vegetarian
159,Necon 777,War inj:con warfare NOS,Langosh Inc,71.89,General Sales List,0,0,19,use wake early
160,Turf Screen Crew Broad Spectrum Sunscreen,Mal neo soft tis abdomen,Harris-Beer,73.99,Pharmacy Medicine,1,24,32,practice boil water
161,DOK,Chronic postop pain NEC,"Bode, Deckow and Schuster",40.65,General Sales List,0,24,10,do padma-assan
162,Childrens Fever Reliever,Contaminated injection,Spinka-Crist,660.61,Pharmacy Medicine,1,0,40,do tulsi
163,Cladosporium cladosporioides,Adv eff insulin/antidiab,Witting Inc,34.87,General Sales List,1,18,57,practice neem
164,Cafe Au Lait,Adv eff antimycobac NEC,Wyman Inc,13.01,Controlled List,0,19,79,practice wake early
165,VITALUMIERE,Helminth arthrit-unspec,Yost-Pouros,67.24,General Sales List,1,18,85,practice haldi
166,Temazepam,Burn NOS leg-unspec,Harris-Lesch,96.31,Pharmacy Medicine,0,8,43,use wake early
167,Omeprazole,Schizophrenia NEC-remiss,"Zieme, Lakin and Carter",88.94,Controlled List,1,28,55,follow haldi
168,ANTIBACTERIAL FOAMING,Abo isoimmunization-unsp,Johnson Group,465.75,Controlled List,0,28,90,do wake early
169,Opalescence Whitening Toothpaste,Behcet arthritis-ankle,Hettinger Inc,28.53,Controlled List,0,4,12,practice vegetarian
170,CARDIGAN,Hodg nodul sclero inguin,Yost-Pouros,52.29,General Sales List,1,23,85,use padma-assan
171,CARE ONE,Abrasion forearm-infect,"McGlynn, Hansen and Nicolas",32.81,General Sales List,0,-3,24,take 8 hour sleep
172,Losartan Potassium and Hydrochlorothiazide,Ulcerative ileocolitis,DuBuque-Paucek,86.44,Controlled List,1,-4,14,practice padma-assan
173,SALICYLIC ACID,Ovale malaria,"Cassin, Kuphal and Feeney",30.36,Controlled List,1,-3,2,follow 8 hour sleep
174,Halibut,Closed skull vault fx,Daugherty-Olson,756.82,Pharmacy Medicine,0,1,30,take haldi
175,Ibuprofen,Septic arterial embolism,Ebert and Sons,23.63,Pharmacy Medicine,1,-4,98,do tulsi
176,Tramadol Hydrochloride,Polydactyly NOS,Hartmann-Brakus,42.54,General Sales List,0,8,62,take neem
177,chlorpromazine hydrochloride,Contusion of elbow,"Predovic, Robel and Considine",11.52,General Sales List,0,-2,1,do neem
178,Glipizide,Hx-endocr/meta/immun dis,"Schulist, Jerde and Romaguera",96.02,Pharmacy Medicine,1,0,91,do tulsi
179,Day Time Cold Flu Relief,Oth coll stnd obj-mocycl,"Wiegand, Prohaska and Kub",99.81,Controlled List,1,18,52,practice 8 hour sleep
180,Ciprofloxacin,Snow veh acc-driver,"Greenholt, Herman and Gislason",932.52,General Sales List,0,-1,92,use 8 hour sleep
181,Penicillin V Potassium,Fx c7 vertebra-closed,"Ortiz, Corkery and Koelpin",70.3,Pharmacy Medicine,1,26,67,use vegetarian
182,Glimepiride,Shigella flexneri,"Maggio, Wehner and Ratke",29.79,Pharmacy Medicine,0,29,83,do neem
183,Heparin Sodium,Maxillary hypoplasia,Daugherty-Olson,95.72,Controlled List,0,3,30,follow sav-assan
184,Moisture Therapy,Adv eff diphther vaccine,Goldner-Gottlieb,63.01,General Sales List,1,22,99,take neem
185,Kapvay,Ac pept ulc hem/perf-obs,Ankunding Inc,38.21,General Sales List,1,26,48,practice tulsi
186,Academy Continuous Sport,Generalized anxiety dis,Harris-Lesch,597.18,General Sales List,0,29,43,use wake early
187,Dorzolamide Hydrochloride,Reiter arthritis-pelvis,Mosciski Inc,75.89,Pharmacy Medicine,1,14,20,use haldi
188,Prilosec OTC,Pois-antineopl/immunosup,Anderson Group,38.51,Controlled List,0,5,77,take sav-assan
189,TUMS,Mal neo cervix uteri NOS,DuBuque-Paucek,61.75,General Sales List,0,11,14,follow wake early
190,Head Congestion Daytime and Nighttime Cold,Prolapse urethral mucosa,Johnson Group,55.84,Pharmacy Medicine,1,-5,90,take padma-assan
191,ACER NEGUNDO POLLEN,Adjustment reaction NEC,"Luettgen, Hayes and Ward",30.18,Controlled List,1,28,38,follow vegetarian
192,Nasal Decongestant PE,Miliary TB NEC-micro dx,Gleichner-Legros,491.62,General Sales List,0,27,53,use wake early
193,Eye Itch Relief,Fx shaft fibula-closed,"Hermiston, Legros and Hand",50.66,Controlled List,0,3,13,follow sav-assan
194,COLTALIN-ND,Derang post lat meniscus,Crona-Leannon,96.61,Pharmacy Medicine,1,15,6,follow wake early
195,Methylprednisolone Acetate,Thyrotox NOS w crisis,"Hahn, Lubowitz and Halvorson",89,Pharmacy Medicine,1,22,69,practice wake early
196,Tekturna HCT,Syph dissem retinitis,Nikolaus Inc,50.99,Pharmacy Medicine,0,5,60,follow haldi
197,Tussin CF Multi-Symptom Cold,Prim pulm hypertension,"Hettinger, Becker and Walter",51.01,Pharmacy Medicine,0,27,26,take wake early
198,XtraCare Foam Antibacterial Hand Wash,"Terrorism, biologicals",Daugherty-Olson,136.07,Pharmacy Medicine,0,16,30,use haldi
199,Medique Medi-Phenyl,Mv-train coll-pasngr,Zemlak and Sons,12.53,General Sales List,1,7,70,do padma-assan
200,Givenchy TEINT COUTURE Long Wearing Fluid Foundation with Sunscreen Broad Spectrum SPF 20 ELEGANT BROWN,Lumb/lumbosac disc degen,Rempel Inc,61.1,General Sales List,0,13,8,follow boil water
201,Pecan Nut,Anemia NEC,Hartmann-Brakus,38.82,Pharmacy Medicine,0,0,62,use haldi
202,ondansetron hydrochloride,2nd deg burn abdomn wall,Kuhic Inc,80.41,Pharmacy Medicine,0,1,23,do 8 hour sleep
203,Gelato Homecare,Blind loop syndrome,Leffler Inc,58.97,Controlled List,0,-2,76,use boil water
204,Phentermine Hydrochloride,Illeg ab w compl NEC-inc,"Ryan, Nader and Murphy",87.28,Controlled List,1,16,97,use sav-assan
205,Golden Sunshine Herbal,Abnorm innervation synd,Nitzsche and Sons,10.02,Pharmacy Medicine,1,14,21,do vegetarian
206,Ciprofloxacin,Inj post tibial artery,Zemlak and Sons,96.03,Controlled List,1,21,70,take boil water
207,up and up lansoprazole,Cl skul base fx w/o coma,Gleichner-Legros,65.75,Pharmacy Medicine,0,2,53,take vegetarian
208,Zolpidem Tartrate,TB of adrenal-no exam,Nikolaus Inc,83.24,General Sales List,0,23,60,follow padma-assan
209,Throat Complex,Ancylostoma NEC,Anderson Group,37.38,General Sales List,0,4,77,take tulsi
210,Vicks NyQuil,Adv eff topic/infil anes,Johns-Lowe,964.03,Pharmacy Medicine,0,15,56,do 8 hour sleep
211,Aricept,Surgical convalescence,Dietrich-Denesik,19.14,Controlled List,1,13,63,use neem
212,Handi-San,Tubal/broad lig anom NEC,"Reinger, Langworth and Wunsch",51.88,General Sales List,0,-3,11,do haldi
213,Conjunct-a-Clear,Burkitt's tumor spleen,"Cassin, Kuphal and Feeney",58.03,Pharmacy Medicine,0,28,2,practice padma-assan
214,NATURAL FINISH,Pulmonary TB NEC-no exam,Langosh Inc,20.36,General Sales List,0,1,19,do haldi
215,Skin Tag Relief,Bladder/urethra inj-open,Kub-Aufderhar,58.71,Controlled List,0,30,72,follow haldi
216,Mesquite,TB skin/subcut-histo dx,Johns-Lowe,285.97,Controlled List,1,9,56,use wake early
217,COMMON BIG SAGEBRUSH POLLEN,Screen mal neop-oral cav,"Reinger, Langworth and Wunsch",52.73,Controlled List,1,22,11,practice boil water
218,SSD,Comb treatment convales,Zemlak and Sons,76.82,Pharmacy Medicine,1,3,70,use boil water
219,Gabapentin,Twin NOS-nonhosp,Harris LLC,86.06,General Sales List,0,9,95,do vegetarian
220,Erythromycin,Mod hypox-ischem enceph,"Fay, Hessel and Borer",39.45,General Sales List,0,2,36,take neem
221,Motion Sickness,Pinta late lesions,"Moen, Osinski and Weissnat",52.3,Pharmacy Medicine,1,11,73,follow tulsi
222,Aloe Scent A B Hand Sanitizing,Excess blood-alcohol lev,"Zieme, Lakin and Carter",40.36,Pharmacy Medicine,1,16,55,do neem
223,Lysol,Cnsl prnt-chld prob NOS,Crona-Leannon,33.74,General Sales List,0,-4,6,do padma-assan
